PGM_ID,APPROVAL_PROCESS_NAME,PGM_NAME,MATERIAL_GROUP,TECH_CENTER_LOC,NEED_BY_DATE,CREATED_DATE,ASSIGNED_TO,CREATOR,ASSIGNEE,REQUESTER,CURRENT_STATUS,PROGRAM_STAGE,MATERIAL_CODE,REVISION_NO,CLASS,SUB_CLASS,SUPPLIER_NAME,SUPPLIER_PLANT,SUPPLIER_CITY,SUPPLIER_STATE,SUPPLIER_COUNTRY,SUPPLIER_PLANT_LOCATION,SUPPLIER_TRADENAME,AGENT_NAME,AGENT_PLANT,AGENT_CITY,AGENT_STATE,AGENT_COUNTRY,AGENT_PLANT_LOCATION,COMMODITY_GROUP,MATERIAL_CATEGORY,REGION_FOR_TRIAL,PLANT_FOR_TRIAL,PLANT_SLOT,EXP_CODE,SPECIFIC_GRAVITY,RHC_POLYMER,RHC_OIL,RHC_FILTER,RMI_DESC,MANET_CLASS,MANET_SUBCLASS,MATERIAL_TYPE,MATERIAL_SUBTYPE,COMPONENT_TYPE,STAINING,COMPATIBLE,MATERIAL_FORM,PGM_REASON,AGENT_BUILD_BREAK,REINGMI_DESC,MAT_CLASS,MAT_SUBCLASS,MAT_DOUBLE_SUBCLASS,APPROVAL_REGIONS,RESTRICTED_PLANTS
4,NEW MATERIAL,NM_000004,RAW MATERIAL,GTC*A,2008-08-31,2008-04-09 14:25:14,372,Tom H Hoopes,Rebecca Dando,Tom H Hoopes,Cancelled,PLANT TRIAL - Authorization Sent Fayetteville not using - see attachment,,,,,HENKEL,Seabrook,Seabrook,NH,USA,"Seabrook, NH, USA",Freekote Aqualine R-120,Watkins and Associates,"Lilburn, GA, USA",Lilburn,GA,USA,"Lilburn, GA, USA",,,NA,Fayetteville,,RFX0005880,1.00,0,0,0,Mold release,,,,,,N,N,L,New Mold Release For Fayetteville,,,,,,NA,
29,NEW MATERIAL,NM_000029,RAW MATERIAL,GTC*A,,2008-04-10 15:08:49,236,Bret Marts,Kelley Gallagher,Bret Marts,Completed,PAPER WORK - Completed,GAZOBINE,0.0,"Oils, Plasticizers",Naphthenics,QuantiQ,DUQUE DE CAXIAS - RIO DE JANEIRO,DUQUE DE CAXIAS - RIO DE JANEIRO,Others,Brazil,"DUQUE DE CAXIAS - RIO DE JANEIRO, Brazil",Flex NBS 100,,,,,,,,,,,,RFX0004755,.92,0,0,0,Heavy Napathenic Low Viscosity,,,OIL,OIL,PROCESS FROM CRUDE OIL,N,Y,L,Local source of Morite type oil for Latin America,,,,,,LA,
46,NEW MATERIAL,NM_000046,RAW MATERIAL,GTC*A,,2008-04-11 15:50:11,138,Bret Marts,Bret Marts,Bret Marts,Cancelled,PROGRAM INITIATION - Completed ,,,,,NYNAS,"Houston, TX, USA",Houston,TX,USA,"Houston, TX, USA",Tufflo 150,,,,,,,,,,,,N0040007,,,,,,,,,,,,,,New Paraffinic Oil from Nytex,,,,,,"AP, EMEA, LA, NA",
47,NEW SOURCE,NS_000047,RAW MATERIAL,GTC*A,2008-08-31,2008-04-11 17:57:11,29,Thomas J Segatta,Corey S Yon,Thomas J Segatta,Cancelled,PROGRAM INITIATION - Completed Sent 4/28/2005,DOCAX,2.0,Curing Materials,Anti-Reversion Agents,DUPONT PERFORMANCE ELASTOMERS,TOLL-China,Uknown,Others,China,"TOLL-, Uknown, China",HYPALON 40,,,,,,,PCO,Accelerator,NA,Danville,,N0040008,,,,,,,,,,,,,,Lower cost supplier,,,,,,"AP, EMEA, LA, NA",
104,NEW MATERIAL,NM_000104,RAW MATERIAL,GTC*L,2010-09-30,2008-04-15 03:00:09,77,Lothar C Braun,Ronda J Hinterlong,Lothar C Braun,Cancelled,"PRODUCTION CODE - Submitted trial already done in Poland and Sava, please see MR 08-23",,,,,DARMEX SACIFI,"Buenos Aires, Argentina",Buenos Aires,Others,Argentina,"Buenos Aires, Argentina",PI-3B,,,,,,,,,EMEA,Debica,,RFX0005274,1.13,0,0,0,MR 08-23: Darmex waterbased ink PI-3B red,,,,,,N,Y, ,waterbased inks in SOS,,,,,,EMEA,
107,NEW MATERIAL,NM_000107,RAW MATERIAL,GTC*L,2010-09-30,2008-04-15 03:28:18,77,Lothar C Braun,Ronda J Hinterlong,Lothar C Braun,Cancelled,"PRODUCTION CODE - Submitted trials already done in Poland and Sava, please see MR 08-26",,,,,DARMEX SACIFI,"Buenos Aires, Argentina",Buenos Aires,Others,Argentina,"Buenos Aires, Argentina",PI-6B,,,,,,,,,EMEA,Debica,,RFX0005665,1.13,0,0,0,MR 08-26: Darmex waterbased ink PI-6B orange,,,,,,N,Y,S,waterbased inks in SOS,,,,,,EMEA,
128,NEW MATERIAL,NM_000128,RAW MATERIAL,GTC*A,,2008-04-15 13:04:04,412,Pete Brawn,Bill Francik,Pete Brawn,Cancelled,HSE PRE APPROVAL,,,,,GOODYEAR TIRE AND RUBBER,PER,Akron,OH,USA,"PER, Akron, OH, USA",10805-250C,,,,,,,,,,,,RFX0005787,0.95,0,0,0,"nBL 25/75 SBR - 0.2wt% PES in premix, terminated with 5 eq TEOS",,,POLY,POLY,SBR,N,Y,S,Functional Polymer,,,,,,NA,
131,NEW MATERIAL,NM_000131,RAW MATERIAL,GTC*A,,2008-04-15 13:16:33,412,Pete Brawn,Bill Francik,Pete Brawn,Cancelled,HSE PRE APPROVAL,,,,,GOODYEAR TIRE AND RUBBER,PER,Akron,OH,USA,"PER, Akron, OH, USA",10805-250D,,,,,,,,,,,,RFX0005789,0.95,0,0,0,"nBL 25/75 SBR - 0.2 wt% PES in premix, terminated with 5 eq TEOS",,,POLY,POLY,SBR,N,Y,S,Functional Polymer,,,,,,NA,
143,NEW MATERIAL,NM_000143,RAW MATERIAL,GTC*A,,2008-04-16 16:51:48,412,Pete Brawn,Bill Francik,Pete Brawn,Cancelled,HSE PRE APPROVAL,,,,,GOODYEAR TIRE AND RUBBER,PER,Akron,OH,USA,"PER, Akron, OH, USA",103-260,,,,,,,,,,,,RFX0005792,0.95,0,0,0,Steam Stripped- nBL 25/75 SBR - terminated with 1 eq Imine Glyme - 10 gallong batch rx,,,POLY,POLY,SBR,N,Y,S,Functional Polymer,,,,,,NA,
150,NEW MATERIAL,NM_000150,RAW MATERIAL,GTC*A,,2008-04-16 17:28:08,412,Pete Brawn,Bill Francik,Pete Brawn,Cancelled,HSE PRE APPROVAL,,,,,GOODYEAR TIRE AND RUBBER,PER,Akron,OH,USA,"PER, Akron, OH, USA",102-261 Drum Dried,,,,,,,,,,,,RFX0005801,0.95,0,0,0,"Drum Dried - nBL 25/75 SBR - terminated with 1 eq Imine Glyme, secondary post rx addition of 4 eq 2-ethylhexanol, third post rx addition of nBL at 4eq - 10 gallong batch rx",,,POLY,POLY,SBR,N,Y,S,Functional Polymer,,,,,,NA,
162,NEW MATERIAL,NM_000162,RAW MATERIAL,GTC*A,,2008-04-17 09:07:58,236,Bret Marts,Kelley Gallagher,Kelley Gallagher,Cancelled,PROGRAM INITIATION - In Progress ,,,,,GOODYEAR TIRE AND RUBBER,"Akron, OH, USA",Akron,OH,USA,"Akron, OH, USA",R1 2-12-08,,,,,,,,,,,,N0040011,,,,,,,,,,,,,,,,,,,,NA,
170,NEW MATERIAL,NM_000170,RAW MATERIAL,GTC*A,,2008-04-17 09:48:25,412,Bill Francik,Bill Francik,Bill Francik,Cancelled,HSE PRE APPROVAL,,,,,GOODYEAR TIRE AND RUBBER,"Akron, OH, USA",Akron,OH,USA,"Akron, OH, USA",R4 2-29-08,,,,,,,,,,,,RFX0005822,0.92,0,0,0,Tris(trimethylsiloxy)boron Steam Stripped,,,POLY,POLY,SBR,N,Y, ,New Polymer Evaluation,,,,,,NA,
171,NEW MATERIAL,NM_000171,RAW MATERIAL,GTC*A,,2008-04-17 09:48:29,412,Bill Francik,Bill Francik,Bill Francik,Cancelled,HSE PRE APPROVAL,,,,,GOODYEAR TIRE AND RUBBER,"Akron, OH, USA",Akron,OH,USA,"Akron, OH, USA",R3 3-6-08,,,,,,,,,,,,RFX0005823,0.92,0,0,0,ISOL,,,POLY,POLY,SBR,N,Y, ,New Polymer Evaluation,,,,,,NA,
172,NEW MATERIAL,NM_000172,RAW MATERIAL,GTC*A,,2008-04-17 09:48:31,412,Bill Francik,Bill Francik,Bill Francik,Cancelled,HSE PRE APPROVAL,,,,,GOODYEAR TIRE AND RUBBER,"Akron, OH, USA",Akron,OH,USA,"Akron, OH, USA",R3 3-7-08,,,,,,,,,,,,RFX0005824,0.92,0,0,0,Pyrrole Imine TEOS,,,POLY,POLY,SBR,N,Y, ,New Polymer Evaluaiton,,,,,,NA,
173,NEW MATERIAL,NM_000173,RAW MATERIAL,GTC*A,,2008-04-17 09:48:34,412,Bill Francik,Bill Francik,Bill Francik,Cancelled,HSE PRE APPROVAL,,,,,GOODYEAR TIRE AND RUBBER,"Akron, OH, USA",Akron,OH,USA,"Akron, OH, USA",R3 3-20-08,,,,,,,,,,,,RFX0005825,0.92,0,0,0,Acetyl phenyl boronic acid,,,POLY,POLY,SBR,N,Y, ,New Polymer Evaluation,,,,,,NA,
174,NEW MATERIAL,NM_000174,RAW MATERIAL,GTC*A,,2008-04-17 09:48:36,412,Bill Francik,Bill Francik,Bill Francik,Cancelled,HSE PRE APPROVAL,,,,,GOODYEAR TIRE AND RUBBER,"Akron, OH, USA",Akron,OH,USA,"Akron, OH, USA",R4 3-20-08,,,,,,,,,,,,RFX0005826,0.92,0,0,0,Acetyl phenyl boronic acid Steam Stripped,,,POLY,POLY,SBR,N,Y, ,New Polymer Evaluation,,,,,,NA,
175,NEW MATERIAL,NM_000175,RAW MATERIAL,GTC*A,,2008-04-17 09:48:39,412,Bill Francik,Bill Francik,Bill Francik,Cancelled,HSE PRE APPROVAL,,,,,GOODYEAR TIRE AND RUBBER,"Akron, OH, USA",Akron,OH,USA,"Akron, OH, USA",R1 2-12-08,,,,,,,,,,,,RFX0005827,0.92,0,0,0,Tetramethyl-dihexyl-guanidinium bromide,,,POLY,POLY,SBR,N,Y, ,New Polymer Evaluation,,,,,,NA,
