PROD_CODE_ID,PGM_ID,MAT_APPR_CODE_FINAL_DATE,MAT_APPR_CODE_FINAL_BY,MAT_APPR_CODE_FINAL_CMNTS,PROP_NAME_MAT_CODE,PROP_NAME_MAT_CODE_DATE,PROP_NAME_MAT_CODE_BY,PROP_NAME_MAT_CODE_CMNTS,CME_APPR_MAT_NAME,CME_APPR_DATE,CME_APPR_BY,CME_APPR_CMNTS,SPEC_DRAFT_POSTED_DATE,SPEC_DRAFT_POSTED_BY,SPEC_DRAFT_POSTED_CMNTS,SPEC_CHNG_CNTRL_DATE,SPEC_CHNG_CNTRL_BY,SPEC_CHNG_CTRL_CMNTS,PROD_CODE_STATUS,PROD_CODE_CURR_STEP_STATUS,CREATED_BY,CREATED_DATE,MODIFIED_BY,MODIFIED_DATE
1,1,2008-04-25,29.0,"The purpose of approving this material is to secure the Bd. This Bd feed is tolled, then purchased as code Jewic.  It will never go to a GY plant!",PREBUDIC,2008-04-25,29.0,"The purpose of approving this material is to secure the Bd. This Bd feed is tolled, then purchased as code Jewic.  It will never go to a GY plant!",PREBUDIC,2008-05-02,76.0,,2008-05-06,29.0,Not posted yet.  Note to G. Platz,,,,D,M,29,2008-04-25 15:45:04,28.0,2011-09-20 09:49:25
61,82,2008-05-14,137.0,MR 08-21,WBIN05WH,2008-05-14,137.0,"WB = waterbased
IN = ink
WH = white",WBINWH01,2008-05-15,76.0,,2010-09-01,28.0,,,,,S,S,137,2008-05-14 04:05:56,28.0,2011-02-21 09:43:55
62,103,2008-05-14,137.0,"trial already done in Poland and Sava, please see MR 08-22",WBIN05YE,2008-05-14,137.0,,WBINYE01,2008-05-15,76.0,,2010-09-01,28.0,,,,,S,S,137,2008-05-14 04:24:19,28.0,2011-02-21 09:46:22
63,104,2008-05-14,137.0,"trial already done in Poland and Sava, please see MR 08-23",WBIN05RE,2008-05-14,137.0,,WBINRE01,2008-05-15,76.0,,2010-09-01,28.0,,,,,S,S,137,2008-05-14 04:32:32,28.0,2011-02-21 09:41:13
121,642,2008-05-19,136.0,,Hermine,2008-05-19,136.0,,HERMINE,2008-05-20,76.0,,2008-06-06,28.0,,,,,S,C,136,2008-05-19 05:19:11,28.0,2008-07-14 08:02:47
142,702,2008-05-22,31.0,,Code 796,2008-05-22,31.0,,CODE796,2010-09-16,76.0,,,,,,,,D,M,31,2008-05-22 09:21:08,76.0,2010-09-16 03:04:06
182,641,2008-06-09,28.0,,CODE1789,2008-06-09,76.0,,CODE1789,2008-06-09,76.0,,2008-06-09,28.0,,,,,S,S,76,2008-06-09 07:46:24,28.0,2008-06-09 10:37:27
321,1465,2008-09-12,236.0,,PLF1739,2008-09-12,236.0,,PLF1739,2008-09-12,28.0,,2008-09-12,28.0,,,,,S,C,236,2008-09-12 10:25:49,28.0,2008-10-14 07:12:15
521,5067,2009-01-30,236.0,,BUD1260,2009-01-30,236.0,HN version of BUD1254.,BUD1260,2009-02-02,76.0,,2009-03-03,28.0,,,,,S,C,236,2009-01-30 11:01:49,28.0,2009-03-26 07:34:41
541,2841,2009-02-05,116.0,,Code 2771,2009-02-05,116.0,,CODE2771,2009-02-05,116.0,,2009-02-06,28.0,,,,,S,C,116,2009-02-05 11:13:47,28.0,2009-03-05 14:00:05
581,4041,2009-03-02,1122.0,,F06Q,2009-03-02,1122.0,revision 4,F06Q,2009-03-03,1122.0,revision 4,2009-03-03,1122.0,,2009-03-03,216.0,,S,C,1122,2009-03-02 11:14:15,1122.0,2009-03-03 08:06:25
661,1050,2009-03-31,77.0,Napanee has been using code for over one year.,WBCRWH01,2009-03-31,77.0,Permanent Code Needed for White Bead Marking Crayon,WBCRWH01,2009-04-01,76.0,,2009-06-03,28.0,,,,,S,C,77,2009-03-31 16:07:52,28.0,2009-08-18 09:17:23
663,1052,2009-03-31,77.0,Napanee has been using code for over one year.,WBCRGR01,2009-03-31,77.0,Permanent code needed for green bead marking crayon,WBCRGR01,2009-04-01,76.0,,2009-06-03,28.0,,,,,S,C,77,2009-03-31 16:11:49,28.0,2009-08-18 09:11:08
681,331,2009-04-08,77.0,Water based tread striping Ink needs permanent code.,WBINWH08,2009-04-08,77.0,Name proposed per Manuela's OK on sharedrive spreadsheet.,WBINWH08,2009-04-09,76.0,,2009-06-02,28.0,,,,,S,C,77,2009-04-08 13:05:27,28.0,2009-10-15 13:54:36
684,334,2009-04-08,77.0,Water based tread striping ink needs permanent code.,WBINWH07,2009-04-08,77.0,Name OK'd per Manuela Pompei from sharedrive spreadsheet.,WBINWH07,2009-04-09,76.0,,2009-06-02,28.0,,,,,S,C,77,2009-04-08 13:10:08,28.0,2009-10-15 10:03:59
689,647,2009-04-08,77.0,Water based tread striping ink needs permanent code.,WBINYE08,2009-04-08,77.0,Manuela Pompei OK'd name in sharedrive spreadsheet,WBINYE08,2009-04-09,76.0,,2009-06-02,28.0,,,,,S,C,77,2009-04-08 13:16:40,28.0,2009-10-15 14:19:45
700,2232,2009-04-08,77.0,Water based tread striping ink needs permanent code.,WBINGY02,2009-04-08,77.0,Manuela Pompei OK'd name on sharedrive spreadsheet.,WBINGY02,2009-04-09,76.0,,2009-06-03,28.0,,,,,S,C,77,2009-04-08 13:41:06,28.0,2009-10-15 13:20:49
721,6701,2009-04-17,28.0,,KLOBUTIC,2009-04-17,28.0,,KLOBUTIC,2009-04-17,28.0,approved form old program,2009-04-17,28.0,,,,,S,C,28,2009-04-17 14:02:35,28.0,2009-05-13 09:30:47
841,7382,2009-06-22,2240.0,,SANDRIC,2009-06-22,2240.0,,SANDRIC,2009-09-14,28.0,,2009-08-28,28.0,,,,,S,C,2240,2009-06-22 07:59:01,28.0,2009-09-15 13:30:21
1102,5741,2009-11-10,651.0,spec is created,COXAX,2009-11-10,651.0,,FOXAX,2009-11-11,76.0,,2009-11-24,28.0,,,,,S,C,651,2009-11-10 11:50:18,28.0,2010-08-19 08:43:37
1184,10661,2009-11-27,651.0,,AMERAX,2009-11-26,651.0,,AMERKAX,2009-11-27,76.0,,2009-11-30,28.0,,,,,S,C,651,2009-11-26 11:04:07,28.0,2010-03-12 10:50:02
1185,10584,2009-11-27,651.0,,MEISSNAX,2009-11-26,651.0,,MEISSNAX,2009-11-27,76.0,,2009-11-30,28.0,,,,,S,C,651,2009-11-26 12:22:32,28.0,2010-03-12 10:54:56
1261,3261,2009-12-16,236.0,,ORLANDIC,2009-12-16,236.0,,ORLANDIC,2009-12-16,28.0,"needed for booksheet,
approved by Tom S.",2010-02-05,28.0,,,,,S,C,236,2009-12-16 13:08:14,28.0,2010-02-11 14:13:49
1341,9724,2010-01-21,651.0,,CARGINE,2010-01-21,651.0,,BENATINE,2010-01-21,76.0,,2010-02-03,28.0,,,,,S,C,651,2010-01-21 10:37:12,28.0,2011-02-16 09:53:01
1381,5122,2010-01-27,160.0,2009TTA233DTDI37574,NC01KA,2010-02-16,160.0,,NC01KA,2010-02-16,160.0,,2010-02-16,160.0,,2010-02-16,160.0,,S,C,160,2010-01-27 11:02:12,160.0,2010-02-16 14:30:09
1402,4324,2010-01-28,77.0,Topeka requesting permanet codes for all TA inks.,WBINYE09,2010-01-28,77.0,Permanent codes needed for all TA bead marking inks.,WBINYE09,2010-01-29,76.0,,2010-02-10,28.0,,,,,S,C,77,2010-01-28 11:44:28,28.0,2010-03-12 07:37:04
